2026-07-11 10:36:57,276 | INFO | chunker.py | Page 239 has 187 tokens
2026-07-11 10:36:57,276 | INFO | chunker.py | Page 240 has 198 tokens
2026-07-11 10:36:57,285 | INFO | chunker.py | Page 241 has 194 tokens
2026-07-11 10:36:57,286 | INFO | chunker.py | Page 242 has 184 tokens
2026-07-11 10:36:57,287 | INFO | chunker.py | Page 243 has 204 tokens
2026-07-11 10:36:57,287 | INFO | chunker.py | Page 244 has 61 tokens
2026-07-11 10:36:57,288 | INFO | chunker.py | Page 246 has 199 tokens
2026-07-11 10:36:57,288 | INFO | chunker.py | Page 247 has 190 tokens
2026-07-11 10:36:57,290 | INFO | chunker.py | Page 248 has 205 tokens
2026-07-11 10:36:57,290 | INFO | chunker.py | Page 249 has 194 tokens
2026-07-11 10:36:57,292 | INFO | chunker.py | Page 250 has 201 tokens
2026-07-11 10:36:57,293 | INFO | chunker.py | Page 251 has 199 tokens
2026-07-11 10:36:57,294 | INFO | chunker.py | Page 252 has 180 tokens
2026-07-11 10:36:57,294 | INFO | chunker.py | Page 253 has 192 tokens
2026-07-11 10:36:57,294 | INFO | chunker.py | Page 254 has 190 tokens
2026-07-11 10:36:57,296 | INFO | chunker.py | Page 255 has 186 tokens
2026-07-11 10:36:57,296 | INFO | chunker.py | Page 257 has 214 tokens
2026-07-11 10:36:57,296 | INFO | chunker.py | Page 258 has 109 tokens
2026-07-11 10:36:57,298 | INFO | chunker.py | Page 260 has 225 tokens
2026-07-11 10:36:57,298 | INFO | chunker.py | Page 261 has 56 tokens
2026-07-11 10:36:57,300 | INFO | chunker.py | Page 263 has 253 tokens
2026-07-11 10:36:57,302 | INFO | chunker.py | Page 264 has 58 tokens
2026-07-11 10:36:57,304 | INFO | chunker.py | Page 266 has 216 tokens
2026-07-11 10:36:57,304 | INFO | chunker.py | Page 267 has 93 tokens
2026-07-11 10:36:57,304 | INFO | chunker.py | Page 269 has 233 tokens
2026-07-11 10:36:57,305 | INFO | chunker.py | Page 270 has 95 tokens
2026-07-11 10:36:57,305 | INFO | chunker.py | Page 272 has 227 tokens
2026-07-11 10:36:57,305 | INFO | chunker.py | Page 273 has 44 tokens
2026-07-11 10:36:57,305 | INFO | chunker.py | Page 275 has 212 tokens
2026-07-11 10:36:57,307 | INFO | chunker.py | Page 276 has 78 tokens
2026-07-11 10:36:57,307 | INFO | chunker.py | Page 278 has 195 tokens
2026-07-11 10:36:57,309 | INFO | chunker.py | Generated 246 chunks.
2026-07-11 10:36:58,086 | INFO | embedding_generator.py | Embedding Generation Started...
2026-07-11 10:36:58,087 | INFO | embedding_generator.py | Total Chunks : 246
2026-07-11 10:38:25,373 | INFO | embedding_generator.py | Embedding Generation Completed.
2026-07-11 10:38:35,576 | INFO | pdf_loader.py | Opening PDF
2026-07-11 10:38:35,587 | INFO | pdf_loader.py | Total Pages : 279
2026-07-11 10:38:35,943 | INFO | pdf_loader.py | Loaded 246 pages successfully
2026-07-11 10:38:35,943 | INFO | chunker.py | Chunking Started...
2026-07-11 10:38:35,943 | INFO | chunker.py | Page 1 has 10 tokens
2026-07-11 10:38:35,943 | INFO | chunker.py | Page 2 has 38 tokens
2026-07-11 10:38:35,959 | INFO | chunker.py | Page 3 has 221 tokens
2026-07-11 10:38:35,959 | INFO | chunker.py | Page 4 has 206 tokens
2026-07-11 10:38:35,959 | INFO | chunker.py | Page 6 has 193 tokens
2026-07-11 10:38:35,960 | INFO | chunker.py | Page 7 has 176 tokens
2026-07-11 10:38:35,960 | INFO | chunker.py | Page 8 has 34 tokens
2026-07-11 10:38:35,960 | INFO | chunker.py | Page 9 has 372 tokens
2026-07-11 10:38:35,960 | INFO | chunker.py | Page 10 has 249 tokens
2026-07-11 10:38:35,960 | INFO | chunker.py | Page 11 has 225 tokens
2026-07-11 10:38:35,960 | INFO | chunker.py | Page 12 has 263 tokens
2026-07-11 10:38:35,960 | INFO | chunker.py | Page 13 has 62 tokens
2026-07-11 10:38:35,960 | INFO | chunker.py | Page 14 has 57 tokens
2026-07-11 10:38:35,960 | INFO | chunker.py | Page 15 has 171 tokens
2026-07-11 10:38:35,960 | INFO | chunker.py | Page 16 has 337 tokens
2026-07-11 10:38:35,960 | INFO | chunker.py | Page 17 has 313 tokens
2026-07-11 10:38:35,960 | INFO | chunker.py | Page 18 has 271 tokens
2026-07-11 10:38:35,960 | INFO | chunker.py | Page 19 has 282 tokens
2026-07-11 10:38:35,960 | INFO | chunker.py | Page 20 has 306 tokens
2026-07-11 10:38:35,960 | INFO | chunker.py | Page 22 has 414 tokens
2026-07-11 10:38:35,960 | INFO | chunker.py | Page 23 has 320 tokens
2026-07-11 10:38:35,960 | INFO | chunker.py | Page 24 has 294 tokens
2026-07-11 10:38:35,960 | INFO | chunker.py | Page 25 has 243 tokens
2026-07-11 10:38:35,973 | INFO | chunker.py | Page 26 has 481 tokens
